Country,City,Title,Price,Cleanliness,Accuracy,Check-in,Communication,Value,Bathroom,Bedroom and laundry,Entertainment,Heating and cooling,Privacy and safety,Internet and office,Kitchen and dining,Parking and facilities,Services
Sweden,Stockholm,Double bed room in Skyttehomen,343,,,9/7/2025,,,Bathtub,"Bed linens
Cotton linens, Clothing storage: closet",0,0,0,Wifi,"Kitchen
Space where guests can cook their own meals","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",0
Sweden,Stockholm,Beautiful and quiet accommodation - 15 minutes from the city,300,,,10/15/2025,,,"Bathtub, Hair dryer, Hot water","Washer, Hangers, Bed linens, Extra pillows and blankets, Clothing storage",TV,Heating,"Smoke alarm, Fire extinguisher","Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Wine glasses, Dining table",Free parking on premises,Host greets you
Sweden,Stockholm,Private bedroom with internet.,132,,,,,,Hair dryer,"Washer, Dryer, Iron",TV with standard cable,Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",0
Sweden,Stockholm,Cozy Private Room 10 min from Stockholm City,284,,,,,,0,Washer,"TV, Exercise equipment",0,"Smoke alarm, First aid kit","Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals","Free parking on premises, Paid parking on premises",Host greets you
Sweden,Stockholm,Rooms near Vällingby Centrum,181,,,,,,Hair dryer,"Free washer – In building, Iron",TV,Air conditioning,Smoke alarm,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals",Free parking on premises,0
Sweden,Stockholm,"Nice room close to beautiful nature, 28 min to T. C.",154,,,,,,"Hair dryer, Cleaning products, Hot water","Paid washer – In unit, Paid dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: dresser",0,Radiant heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Rice maker, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking off premises","Cleaning available during stay, Host greets you"
Sweden,Stockholm,Detached cottage with Bullerby feel near subway!,296,,,,,,"Shampoo, Hot water","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers",0,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals",Free parking on premises,"Self check-in, Lockbox"
Sweden,Stockholm,Rooms near the city and nature.,187,,,,,,0,Paid washer – In unit,0,0,Smoke alarm,Wifi,"Kitchen
Space where guests can cook their own meals",0,Host greets you
Sweden,Stockholm,Nice and cozy apartment,451,,,10/19/2025,,,Hot water,"Free washer – In building, Free dryer – In building, Hangers, Bed linens, Extra pillows and blankets, Clothing storage: walk-in closet and dresser",HDTV,"Portable fans, Radiant heating",0,"Wifi, Dedicated workspace","Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Hot water kettle, Kitchenette
Space where guests can heat up and refrigerate food",0,"Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Sweden,Stockholm,A cozy and sunny room,247,,,,,,0,Washer,0,0,"Exterior security cameras on property
At the garden and garbage sorting there are cameras for our safety, Smoke alarm",Wifi,"Kitchen
Space where guests can cook their own meals","Free parking on premises, Paid parking on premises",Host greets you
Sweden,Stockholm,A bed in an Mixed 8 bed dorm room,162,,,9/7/2025,,,"Hair dryer, Body soap, Hot water","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Iron",TV,"Portable fans, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Hot water kettle, Coffee maker, Baking sheet, Coffee",Paid parking off premises,"Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Stockholm,Shared 6 Bed Mixed Dorm Room,221,,,8/24/2025,,,"Hair dryer, Body soap, Hot water","Paid washer – In unit, Paid dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens
Cotton linens, Room-darkening shades, Iron, Clothing storage",TV,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Hot water kettle, Coffee maker, Rice maker, Coffee",Paid parking off premises,"Self check-in, Smart lock"
Sweden,Stockholm,BLUE ROOM; ~20min from central Sthlm,284,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: closet","TV, Piano","Air conditioning, Portable fans, Radiant heating","Smoke alarm, Fire extinguisher, First aid kit","Wifi, Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Wine glasses, Toaster, Baking sheet, Blender, Dining table","Free parking on premises, Free street parking",Host greets you
Sweden,Stockholm,Room on Kungsholmen. Nice location! Close to everything.,343,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Free dryer – In building, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: dresser",Ethernet connection,Heating,"Exterior security cameras on property
They are out on the streets near the property, Smoke alarm, First aid kit","Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other electric stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Blender, Rice maker, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Stockholm,Hagastaden central,230,,,,,,"Hair dryer, Hot water","Washer, Dryer – In unit, Hangers, Bed linens
Cotton linens, Iron, Clothing storage: dresser",0,Central heating,Smoke alarm,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Dishwasher",0,Host greets you
Sweden,Stockholm,Room in Stockholm.,211,4.9,5.0,10/23/2025,4.9,5.0,0,Washer,0,0,0,Wifi,"Kitchen
Space where guests can cook their own meals",0,0
Sweden,Stockholm,Bed in 8 Bed Shared Dorm Room,200,,,,,,"Hair dryer, Shampoo, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Room-darkening shades",TV,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Mini fridge, Stove, Hot water kettle, Coffee",Paid parking off premises,"Self check-in, Smart lock"
